time (source1),c1,time (source1),x2,time (source1),y2,time (source1),z2,time (source1),p2,time (source1),r2,time (source1),c2,time (source1),x3,time (source1),y3,time (source1),z3,time (source1),p3,time (source1),r3,time (source1),c3,time (source1),x4,time (source1),y4,time (source1),z4,time (source1),p4,time (source1),r4,time (source1),c4,time (source1),x5,time (source1),y5,time (source1),z5,time (source1),p5,time (source1),r5,time (source1),c5,time (source1),x6,time (source1),y6,time (source1),z6,time (source1),p6,time (source1),r6,time (source1),c6,time (source1),x7,time (source1),y7,time (source1),z7,time (source1),p7,time (source1),r7,time (source1),c7,time (source1),x8,time (source1),y8,time (source1),z8,time (source1),p8,time (source1),r8,time (source1),c8,time (source1),x1,time (source1),y1,time (source1),z1,time (source1),p1,time (source1),r1,Adjusted time,Movements
33.629,0,33.618,0,34.372,0,33.606,0,33.602,0,33.603,0,33.603,0,32.89,0,32.879,0,32.87,0,32.868,0,32.865,0,32.853,0,32.864,0,32.876,0,32.882,0,32.872,0,32.88,0,32.861,0,32.851,-52,32.866,1024,32.867,84,32.876,95,32.869,-146,32.858,40,32.85,-408,32.851,908,32.856,-488,32.867,54,32.866,-41,33.605,164,33.616,76,33.611,772,33.61,-668,33.615,48,33.619,5,33.628,185,33.616,80,33.624,944,33.634,400,33.624,113,33.641,168,33.635,352,34.46,0,34.476,0,34.488,0,33.664,0,33.67,0,7.263,Start of pose 1
34.389,0,34.383,0,35.209,0,34.361,0,34.366,0,34.38,0,34.362,0,33.596,0,33.597,0,33.599,0,33.598,0,33.586,0,33.593,0,33.597,0,33.606,0,33.604,0,33.602,0,33.602,0,33.595,0,33.592,-36,33.599,1024,33.6,84,33.6,96,33.606,-156,33.594,33,33.593,-388,33.603,876,33.603,-480,33.59,54,33.61,-38,34.43,168,34.43,20,34.444,708,34.438,-704,34.432,45,34.432,0,34.434,184,34.443,80,34.446,944,34.44,416,34.444,114,34.457,167,34.464,356,35.234,0,35.245,0,35.249,0,34.472,0,34.486,0,8.092,
35.22,0,35.215,0,36.003,0,35.211,0,35.207,0,35.212,0,35.213,0,34.361,0,34.369,0,34.375,0,34.368,0,34.362,0,34.362,0,34.378,0,34.391,0,34.402,0,34.406,0,34.409,0,34.397,0,34.406,-44,34.418,1028,34.425,112,34.425,96,34.419,-161,34.423,29,34.418,-352,34.422,844,34.416,-520,34.42,54,34.429,-33,35.213,177,35.216,-60,35.216,716,35.226,-756,35.219,47,35.22,-4,35.225,178,35.219,96,35.214,944,35.218,432,35.222,115,35.229,167,35.236,358,36.101,0,36.119,0,36.128,0,35.254,0,35.259,0,8.864,
35.983,0,35.991,0,36.879,0,36.004,0,35.988,0,35.997,0,35.994,0,35.213,0,35.209,0,35.197,0,35.199,0,35.186,0,35.192,0,35.193,0,35.199,0,35.206,0,35.205,0,35.205,0,35.193,0,35.207,-32,35.211,1020,35.22,128,35.22,97,35.213,-157,35.217,34,35.205,-264,35.207,832,35.213,-564,35.2,53,35.212,-24,36.075,176,36.058,-152,36.073,720,36.069,-732,36.057,43,36.072,-10,36.076,174,36.079,96,36.074,912,36.067,464,36.067,116,36.085,170,36.098,359,37.019,0,37.026,0,37.032,0,36.123,0,36.132,0,9.726,
36.875,0,36.885,0,37.788,0,36.885,0,36.886,0,36.886,0,36.886,0,35.981,0,35.988,0,35.989,0,35.99,0,35.985,0,35.991,0,35.999,0,36,0,36.012,0,36.016,0,36.018,0,36.016,0,36.023,-40,36.029,1008,36.025,156,36.02,99,36.033,-165,36.025,26,36.025,-240,36.049,852,36.038,-556,36.029,56,36.044,-24,36.967,178,36.986,-208,36.99,804,36.98,-644,36.977,48,36.972,-20,36.998,166,36.981,96,36.986,928,36.987,480,36.988,118,36.994,168,37.006,1,37.88,0,37.886,0,37.89,0,37.04,0,37.045,0,10.634,
37.782,0,37.788,0,38.616,0,37.796,0,37.797,0,37.801,0,37.79,0,36.885,0,36.885,0,36.881,0,36.88,0,36.882,0,36.882,0,36.89,0,36.902,0,36.903,0,36.907,0,36.919,0,36.913,0,36.915,-60,36.921,984,36.928,204,36.939,102,36.936,-168,36.939,26,36.959,-188,36.942,960,36.947,-424,36.967,62,36.966,-21,37.837,194,37.837,-360,37.85,820,37.852,-504,37.851,53,37.854,-34,37.856,157,37.856,96,37.858,928,37.851,480,37.854,118,37.859,170,37.874,358,38.541,0,38.552,0,38.545,0,37.893,0,37.893,0,11.502,
38.624,0,38.617,0,39.28,0,38.611,0,38.612,0,38.641,0,38.641,0,37.789,0,37.786,0,37.788,0,37.792,0,37.782,0,37.783,0,37.789,0,37.795,0,37.795,0,37.801,0,37.807,0,37.801,0,37.807,-28,37.819,996,37.832,196,37.833,101,37.833,-168,37.834,22,37.824,-4,37.818,1004,37.829,-324,37.83,74,37.842,-7,38.577,194,38.563,-348,38.559,848,38.562,-504,38.568,53,38.56,-37,38.555,154,38.551,96,38.537,928,38.526,480,38.522,117,38.522,168,38.534,2,39.278,0,39.278,0,39.283,0,38.539,0,38.543,0,12.162,
39.267,0,39.267,0,40.007,0,39.279,0,39.267,0,39.259,0,39.237,0,38.623,0,38.61,0,38.594,0,38.579,0,38.561,0,38.561,0,38.569,0,38.575,0,38.582,0,38.587,0,38.581,0,38.575,0,38.577,-24,38.577,1008,38.584,200,38.578,101,38.571,-175,38.565,18,38.561,12,38.556,1004,38.564,-248,38.551,76,38.557,6,39.228,197,39.224,-348,39.237,872,39.23,-468,39.229,56,39.224,-37,39.227,153,39.239,80,39.238,928,39.233,496,39.247,118,39.247,169,39.26,3,40.057,0,40.086,0,40.091,0,39.271,0,39.27,0,12.888,
40.007,0,40.014,0,40.788,0,40.008,0,39.997,0,40.005,0,39.999,0,39.239,0,39.233,0,39.236,0,39.237,0,39.233,0,39.236,0,39.231,0,39.24,0,39.232,0,39.236,0,39.237,0,39.223,0,39.23,-28,39.229,988,39.232,208,39.236,101,39.229,-176,39.225,15,39.227,20,39.229,1040,39.236,-204,39.223,80,39.223,3,40.011,201,40.012,-352,40.018,828,40.026,-424,40.022,57,40.016,-40,40.027,153,40.035,96,40.022,912,40.022,496,40.039,119,40.034,171,40.039,2,40.933,0,40.96,0,40.955,0,40.075,0,40.068,0,13.667,Start of pose 2
40.787,0,40.8,0,41.709,0,40.792,0,40.793,0,40.794,0,40.789,0,39.999,0,39.999,0,40.001,0,40,0,39.988,0,39.982,0,39.995,0,40.01,0,40.02,0,40.007,0,40.014,0,39.996,0,39.999,-28,40.011,1016,40.019,208,40.02,101,40.013,-173,40.008,18,39.999,16,39.998,1044,40.005,-156,39.995,80,40.004,7,40.875,197,40.869,-352,40.886,876,40.888,-428,40.879,56,40.887,-38,40.905,152,40.895,80,40.887,896,40.89,512,40.912,120,40.907,169,40.931,8,41.79,0,41.81,0,41.82,0,40.958,0,40.974,0,14.559,
