,x1,y1,z1,x3,y3,z3
0,-592,-552,-568,-352,-488.0,-284.0
1,-424,-216,-192,-220,-212.0,-352.0
2,-300,-420,-376,-532,-184.0,-480.0
3,-168,-484,12,-380,296.0,-132.0
4,552,-132,628,448,1040.0,568.0
5,1272,336,980,736,976.0,1848.0
6,976,2040,936,736,784.0,676.0
7,784,968,736,800,736.0,680.0
8,832,728,816,768,856.0,748.0
9,832,880,872,736,832.0,812.0
10,828,760,836,732,836.0,852.0
11,832,700,832,744,828.0,788.0
12,832,748,812,788,844.0,788.0
13,812,756,820,792,812.0,724.0
14,816,768,840,740,792.0,740.0
15,808,760,820,760,836.0,748.0
16,796,752,812,752,812.0,692.0
17,820,704,808,712,800.0,704.0
18,796,704,788,712,824.0,700.0
19,800,740,780,688,780.0,732.0
20,800,696,808,724,780.0,740.0
21,808,720,792,692,812.0,756.0
22,780,740,800,740,784.0,732.0
23,816,700,792,716,792.0,728.0
24,788,728,792,716,808.0,728.0
25,792,728,812,728,820.0,740.0
26,812,692,808,720,800.0,692.0
27,800,756,788,716,808.0,744.0
28,804,736,792,708,792.0,744.0
29,796,724,808,748,792.0,724.0
30,804,724,804,724,792.0,728.0
31,800,712,812,716,804.0,724.0
32,796,724,808,728,784.0,736.0
33,816,712,804,724,792.0,724.0
34,804,720,812,736,812.0,728.0
35,800,716,808,732,816.0,732.0
36,804,720,800,716,808.0,728.0
37,800,728,812,724,808.0,732.0
38,796,724,804,728,808.0,716.0
39,816,732,804,728,792.0,720.0
40,808,724,804,728,804.0,724.0
41,804,724,816,712,800.0,720.0
42,812,728,812,728,804.0,724.0
43,800,728,796,724,812.0,728.0
44,808,728,808,716,800.0,744.0
45,796,716,800,728,804.0,736.0
46,808,716,804,736,800.0,708.0
47,824,740,808,720,784.0,720.0
48,800,720,804,732,800.0,720.0
49,808,720,800,732,804.0,724.0
50,792,728,816,720,804.0,732.0
51,808,724,804,716,800.0,732.0
52,816,720,804,716,808.0,744.0
53,800,712,796,736,804.0,724.0
54,808,728,804,728,804.0,728.0
55,804,720,808,720,796.0,716.0
56,820,720,808,740,808.0,712.0
57,796,708,804,736,808.0,732.0
58,796,728,808,720,800.0,720.0
59,812,716,800,736,804.0,712.0
60,804,736,828,720,804.0,732.0
61,804,724,788,736,808.0,708.0
62,808,728,800,716,804.0,728.0
63,816,736,808,712,816.0,716.0
64,812,720,820,724,800.0,736.0
65,804,708,812,728,812.0,704.0
66,808,732,812,716,816.0,744.0
67,804,712,812,724,804.0,728.0
68,800,736,812,736,796.0,744.0
69,812,748,808,740,816.0,740.0
70,812,712,800,716,808.0,728.0
71,812,732,800,712,804.0,740.0
72,808,720,808,744,800.0,704.0
73,808,736,804,756,804.0,732.0
74,800,732,800,720,796.0,744.0
75,800,712,796,744,800.0,740.0
76,804,728,792,736,796.0,728.0
77,800,732,808,724,796.0,720.0
78,796,732,800,724,792.0,732.0
79,788,724,808,716,800.0,732.0
80,800,724,796,732,800.0,728.0
81,808,732,788,728,788.0,728.0
82,800,720,792,736,800.0,732.0
83,804,732,804,728,804.0,728.0
84,788,728,796,728,812.0,728.0
85,796,740,792,712,788.0,740.0
86,796,732,800,716,812.0,736.0
87,796,728,804,728,800.0,724.0
88,796,732,808,732,788.0,724.0
89,808,728,800,716,804.0,724.0
90,804,728,792,728,792.0,724.0
91,804,724,800,732,800.0,724.0
92,808,728,800,724,796.0,724.0
93,804,724,804,732,804.0,732.0
94,792,724,800,744,792.0,736.0
95,808,736,800,740,792.0,744.0
96,808,728,804,724,796.0,732.0
97,804,728,800,736,804.0,732.0
98,800,732,796,740,792.0,740.0
99,812,732,804,732,792.0,752.0
100,800,736,812,732,796.0,736.0
101,808,716,800,744,800.0,724.0
102,808,736,800,720,804.0,744.0
103,808,728,804,732,804.0,728.0
104,808,728,808,744,808.0,720.0
105,804,736,812,728,812.0,732.0
106,804,732,804,736,800.0,736.0
107,796,736,796,720,800.0,732.0
108,800,720,796,736,796.0,724.0
109,792,740,800,736,796.0,728.0
110,800,736,800,740,808.0,732.0
111,804,740,788,708,796.0,748.0
112,796,728,792,752,804.0,720.0
113,808,744,796,736,792.0,740.0
114,792,736,800,736,792.0,720.0
115,800,728,800,724,804.0,720.0
116,796,728,800,732,808.0,736.0
117,812,720,804,736,800.0,736.0
118,808,728,800,732,804.0,728.0
119,792,736,800,744,800.0,732.0
120,800,740,812,740,808.0,744.0
121,796,736,800,728,804.0,740.0
122,796,724,800,740,796.0,736.0
123,804,728,808,724,804.0,748.0
124,800,728,796,744,800.0,724.0
125,804,732,808,728,796.0,760.0
126,800,704,816,732,796.0,728.0
127,804,748,792,728,796.0,720.0
128,816,752,812,728,796.0,728.0
129,816,724,820,724,808.0,708.0
130,808,740,804,736,800.0,736.0
131,800,740,808,724,804.0,732.0
132,808,732,808,728,800.0,736.0
133,816,728,808,724,796.0,736.0
134,800,740,820,736,808.0,724.0
135,816,728,808,736,808.0,732.0
136,812,716,812,728,804.0,740.0
137,808,720,808,716,800.0,708.0
138,808,748,820,728,804.0,724.0
139,808,712,796,728,812.0,736.0
140,820,724,816,728,820.0,724.0
141,820,736,824,720,,
