,x1,y1,z1,x3,y3,z3,y1_var,y1_resampled,y1_actual_signal
0,8,-144,12.0,32.0,8.0,236.0,156332.8,"[904.         894.99762478 882.45898826 866.64193375 847.90668876
 826.70544408 803.5688076  779.0895771  753.90436983 728.67372204
 704.06132549 680.71309884 659.23679887 640.18285853 624.02709782
 611.15588929 601.85427636 596.29744123 594.54580453 596.54391402
 602.12315005 611.0081445  622.82668328 637.12274335 653.37220903
 671.00072181 689.40304647 707.96328689 726.07525812 743.16231953
 758.69599543 772.21275518 783.32839184 791.74952483 797.28185485
 799.83491441 799.42318142 796.16355091 790.26928775 782.04070573
 771.85293211 760.14121653 747.3843276  734.08664371 720.7595874
 707.90307148 695.98762027 685.43780081 676.61754832 669.81789813
 665.24754726 663.02656385 663.18344785 665.65562355 670.29332018
 676.8666737  685.0757668  694.56321797 704.92883929 715.74580823
 726.57774535 736.99605806 746.59690206 755.01712743 761.94861421
 767.15046216 770.45857826 771.79230132 771.15781173 768.64819235
 764.44012966 758.78736756 752.01114588 744.48796734 736.6351352
 728.89458808 721.71562204 715.53713415 710.77004172 707.78052867
 706.87474393 708.28552756 712.16167023 718.56012319 727.44147203
 738.6688719  752.01051882 767.1456053  783.67358343 801.12643937
 818.98357359 836.688786   853.66878699 869.35259718 883.19116337
 894.67650595 903.35972482 908.86722717 910.91459814 909.31761478]",904.0
1,76,268,72.0,296.0,84.0,48.0,157346.56000000003,"[  872.          1164.42810603  1056.16546999   838.45515272
   753.37039546   821.11733015   905.56605913   900.3733232
   827.92430954   777.23306667   788.64853046   823.25620447
   829.62206752   807.61616164   794.16772627   805.22114168
   816.86416331   805.30711285   783.89357713   783.12027934
   800.90598794   793.91929991   728.07674949   626.29645349
   549.7967251    530.92305797   537.99061823   515.60247619
   451.71045865   389.64540223   370.99580314   380.38028488
   361.03463306   283.52802239   184.90620466   130.69402098
   143.65122784   180.67592909   180.6787265    125.26575806
    46.40859171   -16.7122602    -53.33365312   -71.9016556
   -72.30416302   -47.07387391   -12.66481908   -22.02832546
  -125.62074312  -313.92378702  -508.          -619.07314381
  -622.49832961  -572.85586306  -547.45943345  -577.66412607
  -633.42990912  -666.08556772  -657.58070546  -629.02459138
  -611.50728564  -617.8490081   -642.03573577  -677.31063151
  -726.96439941  -796.24258111  -876.78748975  -942.1062812
  -961.48103924  -923.63333094  -851.74035105  -793.77348058
  -788.88603249  -834.2704529   -885.53351163  -898.64364564
  -877.6435479   -876.12741443  -941.3102595  -1053.90093727
 -1132.38206203 -1107.63685306  -994.2388113   -880.4521056
  -844.24007962  -884.95184282  -942.06291607  -970.33811985
  -976.11254395  -974.30752953  -935.81356587  -817.37469756
  -657.59163902  -609.55632535  -819.29872879 -1236.57934042
 -1564.73204909 -1455.27206195  -805.3347473    119.40072376]",620.0
2,424,268,572.0,20.0,500.0,8.0,160285.6,"[ -984.         -1083.59532138 -1138.85160331 -1150.53775508
 -1126.03933117 -1077.4163476  -1018.67538798  -962.8979918
  -919.85874161  -894.61149219  -887.26493633  -893.87592833
  -908.13295751  -923.34279362  -934.20394617  -937.95078698
  -934.64930807  -926.6640799   -917.53270363  -910.624095
  -907.98770052  -909.71947449  -914.00394666  -917.78844317
  -917.86224413  -912.          -899.81487724  -883.05480147
  -865.23911183  -850.72659034  -843.47484898  -845.84784216
  -857.82486743  -876.86020058  -898.4646022   -917.37617758
  -929.01440575  -930.81662077  -923.06960794  -908.97054785
  -893.85226796  -883.73623825  -883.57223506  -895.63187166
  -918.51112374  -947.0619977   -973.34537483  -988.43133754
  -984.63773223  -957.65529095  -908.          -841.36943598
  -767.73199757  -699.2880576   -647.73451978  -621.46469089
  -623.38920617  -649.9506117   -691.64428268  -735.00882536
  -765.6914013   -771.91407339  -747.53702094  -693.97050811
  -620.4234733   -542.34291007  -478.31263058  -446.04656299
  -458.34320729  -519.90667246  -625.77213656  -761.73383724
  -906.7367349  -1036.7574465  -1129.36552762 -1168.
 -1145.05499455 -1063.12998363  -934.20513654  -776.95864385
  -612.84655975  -461.82541272  -338.6557673   -250.57019937
  -196.7599968   -169.70937849  -157.98350878  -149.75439068
  -136.19946105  -113.96266185   -86.1101486    -61.38243608
   -51.95286933   -70.25272429  -125.6352351   -221.67771068
  -354.76030605  -514.25361953  -684.2700152   -846.57518016]",736.0
3,384,-76,-176.0,-468.0,-544.0,-344.0,127058.55999999998,,736.0
4,-544,-344,-544.0,-344.0,-544.0,44.0,33208.96,,696.0
5,304,280,304.0,408.0,304.0,540.0,15596.960000000001,,756.0
6,304,540,744.0,540.0,780.0,540.0,11719.84,,748.0
7,780,540,668.0,776.0,748.0,884.0,6977.4400000000005,,748.0
8,748,884,748.0,836.0,824.0,856.0,5497.76,,748.0
9,736,856,808.0,904.0,756.0,904.0,4394.24,,724.0
