Unnamed: 0,x5,y5,z5,c5,x6,y6,z6,c6,x7,y7,z7,c7,rolling_var_x5_10,rolling_var_y5_10,rolling_var_z5_10,rolling_var_c5_10,rolling_var_x6_10,rolling_var_y6_10,rolling_var_z6_10,rolling_var_c6_10,rolling_var_x7_10,rolling_var_y7_10,rolling_var_z7_10,rolling_var_c7_10,rolling_var_x5_20,rolling_var_y5_20,rolling_var_z5_20,rolling_var_c5_20,rolling_var_x6_20,rolling_var_y6_20,rolling_var_z6_20,rolling_var_c6_20,rolling_var_x7_20,rolling_var_y7_20,rolling_var_z7_20,rolling_var_c7_20
0,-820,217,320,-480,-892.0,287.0,-76.0,340.0,-1020.0,304.0,-272.0,-608.0,59016.63999999999,450.91,41760.96,330026.24000000005,61184.76000000001,256.52750000000003,2944.8,58707.84000000001,191978.56,4009.540000000001,7988.960000000001,412186.36,59016.63999999999,450.91,41760.96,330026.24000000005,61184.76000000001,256.52750000000003,2944.8,58707.84000000001,191978.56,4009.540000000001,7988.960000000001,412186.36
1,-816,220,336,-528,-924.0,287.0,-80.0,340.0,-1024.0,305.0,-344.0,-624.0,55821.759999999995,379.0,35048.759999999995,281591.04,59037.56000000002,227.31,3015.8,43125.23999999999,155251.0,3624.0100000000007,8691.96,339701.6,55821.759999999995,379.0,35048.759999999995,281591.04,59037.56000000002,227.31,3015.8,43125.23999999999,155251.0,3624.0100000000007,8691.96,339701.6
2,-880,224,336,-512,-1088.0,289.0,-192.0,508.0,-1008.0,305.0,-500.0,-516.0,51221.56,310.96,25714.040000000005,218080.63999999998,54607.159999999996,198.24,3253.44,25526.2,112282.36000000002,3187.14,9040.76,251960.44000000003,51221.56,310.96,25714.040000000005,218080.63999999998,54607.159999999996,198.24,3253.44,25526.2,112282.36000000002,3187.14,9040.76,251960.44000000003
3,-920,228,248,-424,-1044.0,290.0,-192.0,508.0,-828.0,302.0,-484.0,-472.0,43195.36,257.2,15249.760000000004,147002.24000000002,40919.83999999999,153.24000000000004,3021.6,15022.2,64455.359999999986,2633.54,6957.4400000000005,167091.03999999998,43195.36,257.2,15249.760000000004,147002.24000000002,40919.83999999999,153.24000000000004,3021.6,15022.2,64455.359999999986,2633.54,6957.4400000000005,167091.03999999998
4,-864,232,104,-156,-976.0,291.0,-220.0,772.0,-508.0,297.0,-328.0,-232.0,31291.96,215.4475,7426.56,76779.36,27524.6,101.74749999999999,2537.7599999999998,3147.2,27815.159999999996,1968.2899999999997,4607.36,76501.6,31291.96,215.4475,7426.56,76779.36,27524.6,101.74749999999999,2537.7599999999998,3147.2,27815.159999999996,1968.2899999999997,4607.36,76501.6
5,-888,245,-16,252,-888.0,272.0,-144.0,1020.0,-296.0,281.0,-448.0,652.0,20468.8,192.2475,3740.16,28282.24000000001,15798.560000000001,35.247499999999995,1594.4,216.43999999999997,11130.36,1258.6475,4441.4400000000005,6978.040000000001,20468.8,192.2475,3740.16,28282.24000000001,15798.560000000001,35.247499999999995,1594.4,216.43999999999997,11130.36,1258.6475,4441.4400000000005,6978.040000000001
6,-524,260,-80,508,-700.0,258.0,-184.0,1032.0,-84.0,251.0,-388.0,876.0,6805.4400000000005,197.31,2409.6,8943.36,6816.44,17.45,1369.4,216.96000000000004,3396.6,637.1900000000002,2282.04,1310.56,6805.4400000000005,197.31,2409.6,8943.36,6816.44,17.45,1369.4,216.96000000000004,3396.6,637.1900000000002,2282.04,1310.56
7,-536,278,-88,800,-588.0,262.0,-136.0,1036.0,-24.0,221.0,-296.0,920.0,5279.039999999999,213.24,1840.4400000000005,1222.4,3548.96,15.860000000000003,690.4,210.35999999999999,1443.9600000000003,252.32749999999996,1013.76,516.9600000000002,5279.039999999999,213.24,1840.4400000000005,1222.4,3548.96,15.860000000000003,690.4,210.35999999999999,1443.9600000000003,252.32749999999996,1013.76,516.9600000000002
8,-492,291,-92,892,-604.0,259.0,-52.0,1060.0,92.0,174.0,-264.0,1008.0,3187.96,223.35999999999999,1303.3600000000001,577.76,2315.0,11.3275,434.56000000000006,197.24000000000004,368.76,60.44749999999999,748.1600000000001,136.44,3187.96,223.35999999999999,1303.3600000000001,577.76,2315.0,11.3275,434.56000000000006,197.24000000000004,368.76,60.44749999999999,748.1600000000001,136.44
9,-476,288,-152,976,-500.0,256.0,-68.0,1036.0,128.0,144.0,-204.0,996.0,1684.6399999999999,171.7875,743.3599999999999,546.5599999999998,688.44,8.647499999999999,433.75999999999993,114.55999999999999,299.96,45.790000000000006,650.24,136.44,1684.6399999999999,171.7875,743.3599999999999,546.5599999999998,688.44,8.647499999999999,433.75999999999993,114.55999999999999,299.96,45.790000000000006,650.24,136.44
10,-348,280,-148,888,-456.0,254.0,-80.0,1020.0,152.0,159.0,-256.0,1020.0,323.96,127.32749999999999,631.1600000000001,390.84000000000003,341.76,8.647499999999999,435.2,96.0,304.15999999999997,38.44,727.8,142.2,323.96,127.32749999999999,631.1600000000001,390.84000000000003,341.76,8.647499999999999,435.2,96.0,304.15999999999997,38.44,727.8,142.2
11,-296,274,-192,940,-416.0,248.0,-68.0,1000.0,144.0,159.0,-232.0,992.0,213.56,90.96000000000001,467.36,366.4,236.16,8.647499999999999,449.76000000000005,95.16,284.96,42.4,653.4399999999999,138.04000000000002,213.56,90.96000000000001,467.36,366.4,236.16,8.647499999999999,449.76000000000005,95.16,284.96,42.4,653.4399999999999,138.04000000000002
12,-292,261,-224,940,-404.0,248.0,-80.0,1024.0,144.0,160.0,-256.0,1012.0,231.8,63.44,468.64000000000004,349.23999999999995,261.76000000000005,8.147499999999999,451.0400000000001,83.04,274.0400000000001,41.9275,703.8399999999999,120.44000000000001,231.8,63.44,468.64000000000004,349.23999999999995,261.76000000000005,8.147499999999999,451.0400000000001,83.04,274.0400000000001,41.9275,703.8399999999999,120.44000000000001
13,-308,261,-228,932,-404.0,248.0,-84.0,1024.0,160.0,160.0,-256.0,1016.0,227.64000000000001,55.760000000000005,482.24000000000007,331.36,263.8,7.9899999999999975,424.15999999999997,86.84,274.04,43.11,734.8399999999999,121.43999999999997,227.64000000000001,55.760000000000005,482.24000000000007,331.36,263.8,7.9899999999999975,424.15999999999997,86.84,274.04,43.11,734.8399999999999,121.43999999999997
14,-280,257,-200,900,-440.0,254.0,-80.0,1016.0,140.0,166.0,-244.0,1000.0,225.4,47.8275,572.96,322.35999999999996,264.43999999999994,7.227500000000001,386.36,83.0,226.04000000000002,45.839999999999996,643.64,128.0,225.4,47.8275,572.96,322.35999999999996,264.43999999999994,7.227500000000001,386.36,83.0,226.04000000000002,45.839999999999996,643.64,128.0
15,-292,254,-216,920,-384.0,254.0,-104.0,1024.0,164.0,164.0,-220.0,1016.0,202.4,43.74750000000001,618.04,312.75999999999993,208.64000000000004,7.089999999999998,354.56,83.0,231.84,42.04,647.1600000000001,138.23999999999995,202.4,43.74750000000001,618.04,312.75999999999993,208.64000000000004,7.089999999999998,354.56,83.0,231.84,42.04,647.1600000000001,138.23999999999995
16,-328,258,-236,920,-384.0,248.0,-68.0,1000.0,112.0,163.0,-220.0,1008.0,197.43999999999997,40.75,657.4,319.84000000000003,185.4,8.61,163.04000000000005,79.04,164.0,42.15,687.3599999999999,143.2,197.43999999999997,40.75,657.4,319.84000000000003,185.4,8.61,163.04000000000005,79.04,164.0,42.15,687.3599999999999,143.2
17,-288,250,-224,880,-424.0,248.0,-44.0,1004.0,108.0,154.0,-216.0,1000.0,166.84,37.127500000000005,625.4399999999999,331.36,160.44,9.059999999999999,152.95999999999998,70.55999999999999,155.0,36.75999999999999,709.5600000000001,145.76,166.84,37.127500000000005,625.4399999999999,331.36,160.44,9.059999999999999,152.95999999999998,70.55999999999999,155.0,36.75999999999999,709.5600000000001,145.76
