,x5,y5,z5,c5,x6,y6,z6,c6,x7,y7,z7,c7,
1,-128,256,-232,948,-424,246,-200,780,-556,248,-100,1040,Pose1
2,-112,239,-208,1004,-356,245,-184,836,-560,247,-84,1040,
3,-36,216,-152,1032,-296,233,-208,836,-484,248,-56,1048,
4,-12,223,-100,1040,-240,237,-244,936,-428,244,-92,1024,
5,36,192,-116,1032,-188,228,-248,868,-384,244,-24,1032,
6,24,180,-136,1092,-196,231,-244,908,-376,244,-68,1012,
7,52,170,-124,1072,-132,212,-236,916,-372,244,-40,1024,
8,72,161,-120,1068,-100,215,-212,944,-340,244,-20,1028,
9,84,154,-84,1084,-128,226,-208,928,-336,244,-96,1032,
10,44,196,-224,1016,-68,200,-96,860,-440,267,-20,984,
11,16,185,-188,1096,-92,213,-184,956,-332,242,-76,1032,
12,72,188,-120,1040,-68,209,-216,964,-292,242,-76,1020,
13,76,186,-196,1096,-56,207,-248,940,-284,242,-64,1028,
14,68,191,-176,1064,-76,214,-252,956,-300,246,-72,1016,
15,56,189,-148,1060,-64,206,-264,940,-300,243,-68,1020,
16,56,191,-152,1080,-68,205,-272,932,-292,241,-68,1024,
17,52,192,-168,1084,-72,207,-272,936,-304,241,-64,1028,
18,56,188,-148,1080,-56,199,-264,936,-316,242,-72,1020,
19,60,196,-168,1080,-52,197,-260,936,-300,243,-56,1012,
20,40,190,-140,1068,-64,192,-272,936,-280,240,-84,1028,
21,52,198,-176,1096,-52,197,-268,948,-280,240,-72,1028,
22,64,195,-176,1080,-68,203,-272,936,-280,240,-76,1032,
23,52,200,-160,1080,-68,200,-280,944,-292,243,-68,1032,
24,56,188,-136,1072,-36,190,-276,944,-288,240,-84,1024,
25,52,199,-148,1052,-48,193,-276,968,-300,242,-80,1020,
26,52,193,-148,1068,-60,191,-272,916,-292,242,-68,1024,
27,56,199,-156,1048,-60,201,-276,944,-292,240,-76,1024,
28,52,195,-144,1064,-76,202,-280,940,-280,239,-80,1012,
29,48,195,-144,1064,-68,190,-284,956,-288,241,-104,1012,
30,76,190,-176,1080,-64,194,-280,936,-264,241,-92,1020,
31,64,192,-168,1072,-60,196,-296,936,-280,242,-88,1024,
32,68,192,-168,1076,-64,190,-276,952,-256,243,-84,1020,
33,60,197,-148,1060,-40,190,-284,932,-272,240,-60,1016,
34,60,187,-164,1084,-52,199,-268,976,-272,238,-76,1028,
35,64,192,-180,1056,-48,184,-276,960,-260,238,-76,1020,
36,68,186,-180,1076,-48,194,-288,952,-256,236,-84,1020,
37,72,187,-172,1064,-36,186,-280,944,-276,238,-84,1020,
38,64,193,-156,1088,-44,189,-292,952,-240,239,-72,1024,
39,72,183,-176,1072,-52,196,-276,952,-280,242,-84,1008,
40,60,192,-180,1068,-56,192,-308,944,-264,237,-76,1028,
41,64,186,-168,1064,-48,187,-276,944,-252,240,-72,1020,
42,60,188,-156,1068,-40,184,-280,948,-268,239,-72,1012,
43,64,187,-156,1052,-36,186,-276,952,-252,237,-72,1012,
44,48,192,-152,1084,-56,193,-260,952,-252,240,-72,1012,
45,64,185,-152,1076,-64,195,-268,960,-264,233,-52,1012,
46,56,178,-136,1064,-36,182,-276,952,-256,236,-68,1024,
47,48,187,-148,1072,-52,195,-276,948,-256,237,-76,1036,
48,64,175,-132,1072,-36,181,-256,960,-268,237,-76,1016,
49,56,187,-144,1060,-36,181,-268,956,-260,236,-64,1028,
50,56,175,-152,1060,-40,175,-268,956,-260,236,-64,1020,
51,52,183,-188,1068,-40,183,-220,988,-244,233,-64,1024,
52,68,174,-152,1084,-32,179,-256,956,-268,239,-68,1024,
53,72,175,-152,1084,-36,180,-284,956,-248,237,-68,1024,
54,72,180,-152,1048,-36,180,-260,940,-260,238,-64,1008,
55,88,170,-148,1104,-24,175,-272,940,-276,237,-76,1020,
56,76,178,-164,1084,-28,181,-276,952,-272,237,-64,1024,
57,88,170,-156,1080,-36,179,-268,948,-256,238,-72,1024,
58,92,174,-156,1064,-40,183,-276,960,-260,237,-72,1024,
59,92,176,-152,1044,-16,174,-252,944,-268,237,-64,1020,
60,72,172,-144,1076,-28,175,-272,948,-272,237,-76,1024,
61,76,174,-172,1072,-52,176,-260,964,-280,239,-72,1008,
62,68,177,-172,1064,-48,184,-276,960,-272,238,-72,1008,
63,72,182,-152,1076,-44,184,-260,928,-280,238,-68,1020,
64,80,181,-168,1076,-40,182,-256,976,-284,238,-80,1024,
65,76,180,-148,1064,-28,177,-272,948,-268,237,-72,1028,
66,80,178,-156,1072,-32,181,-272,944,-272,242,-80,1020,
67,76,184,-164,1064,-40,181,-268,952,-272,242,-84,1020,
68,76,185,-164,1072,-44,182,-288,948,-280,242,-72,1020,
69,76,178,-184,1068,-24,183,-268,944,-280,242,-72,1020,
70,76,182,-164,1072,-24,187,-268,944,-280,242,-80,1024,
71,80,180,-164,1048,-40,182,-268,956,-284,241,-80,1024,
72,76,181,-164,1080,-48,183,-272,952,-272,242,-72,1024,
73,76,179,-164,1080,-44,181,-268,952,-272,239,-68,1008,
74,60,183,-144,1080,-52,179,-276,948,-272,240,-72,1028,
75,76,177,-148,1052,-28,178,-268,956,-272,240,-80,1016,
76,88,180,-144,1052,-40,184,-280,948,-260,238,-64,1016,
77,84,174,-144,1056,-32,180,-268,968,-264,242,-72,996,
78,80,179,-156,1060,-48,185,-272,956,-268,239,-64,1032,
79,88,171,-156,1068,-48,184,-268,944,-264,238,-80,1012,
80,72,171,-164,1052,-48,187,-260,968,-276,240,-72,1008,
81,84,179,-144,1052,-32,175,-272,968,-252,241,-80,1024,
82,84,181,-152,1076,-44,182,-264,960,-256,239,-72,1016,
83,76,173,-156,1064,-32,179,-280,952,-256,238,-68,1024,
84,80,178,-156,1076,-44,181,-276,948,-268,238,-72,1008,
